Fecha,Linea,KM
2019-09-18T00:00:00Z,N339,10807.909
2019-03-01T00:00:00Z,N339,10522.336
2020-01-18T00:00:00Z,N339,10478.193
2019-12-28T00:00:00Z,N339,10131.421
2019-12-07T00:00:00Z,N339,12152.665
2019-06-29T00:00:00Z,N339,12012.14
2019-11-19T00:00:00Z,N339,13223.458
2019-04-06T00:00:00Z,N339,10817.123
2021-12-22T00:00:00Z,LINA,23929.204
2019-08-19T00:00:00Z,N339,12044.601
2019-04-10T00:00:00Z,203I,34496.687
2019-10-12T00:00:00Z,N339,11426.079
2019-05-19T00:00:00Z,N339,10434.417
2023-07-09T00:00:00Z,N339,5129.152
2019-03-19T00:00:00Z,N339,10809.304
2019-06-08T00:00:00Z,LEXP,15725.817
2023-02-16T00:00:00Z,N339,4720.636
2019-06-01T00:00:00Z,N339,10006.644
2019-05-26T00:00:00Z,N339,10754.085
2019-10-20T00:00:00Z,N339,12611.178
2023-10-24T00:00:00Z,N339,6791.814
2023-06-02T00:00:00Z,N339,7643.575
2023-01-16T00:00:00Z,N339,4269.49
2019-08-22T00:00:00Z,N339,12155.844
2019-05-24T00:00:00Z,203I,32813.77
2023-04-13T00:00:00Z,N339,5037.124
2023-11-08T00:00:00Z,N339,6356.685
2019-05-07T00:00:00Z,203I,34383.14
2019-05-08T00:00:00Z,N339,11531.929
2019-06-06T00:00:00Z,203M,31756.513
2019-03-28T00:00:00Z,359V,14927.093
2019-09-12T00:00:00Z,N339,11351.103
2019-05-02T00:00:00Z,203I,34202.96
2022-04-13T00:00:00Z,N339,5146.637
2023-04-27T00:00:00Z,N339,5574.124
2023-09-05T00:00:00Z,N339,5402.657
2019-11-13T00:00:00Z,L339,12122.073
2019-05-15T00:00:00Z,L339,16632.086
2023-08-17T00:00:00Z,N339,5293.87
2022-11-04T00:00:00Z,N339,6582.032
2019-01-25T00:00:00Z,N339,11705.565
2019-07-20T00:00:00Z,N339,11605.284
2019-04-01T00:00:00Z,203I,34069.73
2023-09-26T00:00:00Z,N339,5221.131
2022-01-14T00:00:00Z,N339,4744.521
2019-08-11T00:00:00Z,N339,11478.287
2019-07-05T00:00:00Z,N339,12931.084
2019-07-02T00:00:00Z,N339,12094.201
2019-04-09T00:00:00Z,N339,12385.101
2020-01-16T00:00:00Z,N339,9205.011
2023-09-04T00:00:00Z,N339,6545.141
2020-03-12T00:00:00Z,N339,10190.191
2019-04-27T00:00:00Z,N339,10295.218
2023-04-25T00:00:00Z,N339,5097.12
2023-04-18T00:00:00Z,N339,5912.36
2019-04-20T00:00:00Z,N339,11117.442
2021-02-18T00:00:00Z,203I,32200.04
2020-02-18T00:00:00Z,N339,9559.433
2019-07-16T00:00:00Z,N339,11547.256
2019-09-10T00:00:00Z,N339,10573.56
2019-06-05T00:00:00Z,203I,34667.57
2019-03-07T00:00:00Z,LEXP,18894.392
2022-07-07T00:00:00Z,N339,5861.797
2021-08-11T00:00:00Z,LINA,21588.168
2020-02-17T00:00:00Z,N339,9144.214
2019-12-14T00:00:00Z,N339,10124.343
2023-08-16T00:00:00Z,N339,6400.271
2023-02-07T00:00:00Z,N339,4227.631
2019-01-11T00:00:00Z,N339,10331.53
2023-07-05T00:00:00Z,N339,6059.573
2019-11-12T00:00:00Z,N339,11981.746
2023-10-17T00:00:00Z,N339,6481.288
2019-08-10T00:00:00Z,N339,11950.76
2019-03-08T00:00:00Z,203I,33227.54
2023-02-28T00:00:00Z,L103,8076.786
2019-01-22T00:00:00Z,N339,11770.565
2019-12-05T00:00:00Z,N339,11694.248
2019-12-18T00:00:00Z,N339,8726.653
2021-03-26T00:00:00Z,L339,8803.733
2019-01-15T00:00:00Z,N339,10590.369
2019-06-22T00:00:00Z,LEXP,15508.162
2020-01-19T00:00:00Z,N339,10307.528
2020-02-10T00:00:00Z,N339,9304.584
2019-11-01T00:00:00Z,N339,14243.068
2020-03-01T00:00:00Z,N339,9014.449
2022-06-29T00:00:00Z,N339,6518.166
2019-02-17T00:00:00Z,N339,10065.887
2019-06-19T00:00:00Z,N339,12255.348
2020-02-09T00:00:00Z,N339,10433.901
2019-07-12T00:00:00Z,N339,12550.366
2019-10-24T00:00:00Z,N339,10912.578
2019-10-05T00:00:00Z,N339,12516.478
2019-04-14T00:00:00Z,N339,12059.757
2022-02-18T00:00:00Z,N339,5236.056
2019-01-05T00:00:00Z,N339,10633.596
2022-05-27T00:00:00Z,N339,6783.512
2019-08-31T00:00:00Z,N339,11519.241
2021-01-30T00:00:00Z,203I,22270.24
2019-05-18T00:00:00Z,LEXP,15427.694
2020-08-18T00:00:00Z,203I,30950.93
2020-07-28T00:00:00Z,203I,29293.34
2023-02-06T00:00:00Z,N339,5001.269
2023-08-25T00:00:00Z,N339,6154.802
2022-11-01T00:00:00Z,N339,5344.34
2023-05-08T00:00:00Z,LINA,23747.488
2022-11-11T00:00:00Z,N339,4716.499
2023-01-13T00:00:00Z,LINA,19111.151
2020-02-04T00:00:00Z,N339,10804.881
2019-06-04T00:00:00Z,203I,32325.88
2022-10-25T00:00:00Z,N339,4744.338
2019-10-30T00:00:00Z,N339,10756.463
2022-10-05T00:00:00Z,N339,4137.914
2022-10-21T00:00:00Z,N339,4480.674
2022-10-27T00:00:00Z,N339,4799.107
2019-02-16T00:00:00Z,N339,10212.334
2019-12-11T00:00:00Z,N339,8698.95
2019-07-27T00:00:00Z,N339,11447.585
2019-10-27T00:00:00Z,N339,10969.825
2022-02-14T00:00:00Z,N339,5678.738
2023-08-15T00:00:00Z,N339,5548.112
2020-01-06T00:00:00Z,N339,9154.595
2022-04-08T00:00:00Z,N339,6615.594
2023-05-02T00:00:00Z,N339,4757.952
2022-01-06T00:00:00Z,N339,3651.041
2019-04-30T00:00:00Z,N339,8542.451
2023-09-12T00:00:00Z,N339,5621.106
2019-02-03T00:00:00Z,N339,11033.256
2022-04-05T00:00:00Z,N339,7171.115
2023-08-28T00:00:00Z,N339,6071.99
2022-10-18T00:00:00Z,N339,4436.112
2019-08-25T00:00:00Z,N339,11767.841
2019-11-18T00:00:00Z,N339,13079.29
2022-06-23T00:00:00Z,N339,6028.203
2019-02-21T00:00:00Z,N339,10961.356
2019-06-03T00:00:00Z,N339,12612.152
2022-11-09T00:00:00Z,N339,4855.847
2020-02-01T00:00:00Z,N339,10467.45
2022-05-24T00:00:00Z,N339,5056.645
2022-10-14T00:00:00Z,N339,4450.349
2021-05-16T00:00:00Z,LINA,13955.516
2019-02-27T00:00:00Z,N339,11477.839
2022-10-04T00:00:00Z,N339,3891.944
2019-09-03T00:00:00Z,N339,10997.174
2019-03-24T00:00:00Z,N339,11022.329
2019-11-26T00:00:00Z,N339,11489.797
2019-05-05T00:00:00Z,N339,9777.611
2019-03-22T00:00:00Z,203I,32483.42
2019-01-26T00:00:00Z,N339,11099.085
2022-07-28T00:00:00Z,N339,6494.583
2020-02-20T00:00:00Z,N339,9280.927
2023-05-12T00:00:00Z,N339,8152.3
2019-01-10T00:00:00Z,N339,11789.655
2022-06-08T00:00:00Z,N339,5107.188
2021-09-23T00:00:00Z,N339,4415.831
2020-01-25T00:00:00Z,N339,9914.625
2022-04-29T00:00:00Z,LMAV,7271.188
