"Date","Price","Open","High","Low","Vol.","Change %"
"04/12/2017","48,955.82","49,607.29","49,661.08","48,871.89","129.96M","-1.37%"
"04/11/2017","49,637.93","49,540.76","49,753.57","49,102.80","115.48M","0.20%"
"04/10/2017","49,540.26","49,339.65","49,590.85","49,163.31","84.46M","0.40%"
"04/07/2017","49,343.64","49,012.22","49,393.25","48,887.08","120.46M","0.68%"
"04/06/2017","49,012.42","49,207.77","49,313.73","48,838.85","136.58M","-0.40%"
"04/05/2017","49,207.61","49,339.24","49,560.90","49,118.21","221.54M","-0.27%"
"04/04/2017","49,342.77","48,799.09","49,342.80","48,791.43","194.46M","1.07%"
"04/03/2017","48,819.07","48,549.23","49,008.81","48,461.27","112.93M","0.57%"
"03/31/2017","48,541.56","48,863.13","48,925.44","48,541.56","250.13M","-0.66%"
"03/30/2017","48,863.30","49,032.09","49,068.48","48,719.63","146.15M","-0.35%"
"03/29/2017","49,036.52","49,335.81","49,335.81","48,941.48","189.36M","-0.61%"
"03/28/2017","49,339.24","49,310.77","49,523.94","49,194.72","167.51M","0.05%"
"03/27/2017","49,312.99","49,082.89","49,312.99","48,743.81","181.24M","0.47%"
"03/24/2017","49,083.85","48,675.19","49,105.31","48,595.08","185.41M","0.84%"
"03/23/2017","48,676.91","48,481.15","48,898.32","48,437.00","179.10M","0.39%"
"03/22/2017","48,487.30","48,592.26","48,612.61","48,201.81","191.06M","-0.21%"
"03/21/2017","48,589.05","48,593.64","49,240.09","48,422.84","257.46M","-0.01%"
"03/17/2017","48,593.44","48,066.82","48,626.12","47,924.89","476.57M","1.12%"
"03/16/2017","48,056.56","47,496.00","48,333.61","47,333.79","241.30M","1.23%"
