Mes,Year,Linea,LTS,KM,Consumo
5,2023,L138,46629.26,103172.446,45.1954584851076
4,2023,L128,50335.57,104142.511,48.3333554344584
12,2022,L140,49792.59,98522.257,50.5394329323982
12,2022,L138,42270.49,87274.9410000001,48.4337079070612
11,2022,L122,113667.47,246471.608,46.117875775777
10,2022,L102/144,44709.91,92008.6839999999,48.593141490862
10,2022,L103,96828.36,203195.036,47.6529160879698
9,2022,L128,52958.58,111390.183,47.5433099880983
8,2022,L101,46131.7200000001,102906.799,44.8286414972446
7,2022,L143/136/137,81458.01,171877.264,47.3931269932247
7,2022,L102/144,45331.47,96170.8699999999,47.1363833975923
7,2022,L138,41585.72,89805.851,46.3062479080567
4,2022,L103,95588.4300000001,198342.433,48.1936359024093
3,2022,L103,103616.72,210527.837,49.2175863660254
10,2021,L128,51598.2800000001,115048.618,44.8491089219342
3,2021,L145/133,99447.3300000001,219368.609,45.3334369276144
1,2021,L144,9907.92,23805.461,41.6203660160163
10,2020,L145,41385.48,123446.834,33.5249424055703
10,2020,L144,12031.83,32501.695,37.0190846969673
9,2020,L144,5806.39,17772.691,32.6702917414138
3,2020,L128,56621.22,126277.428,44.8387498041217
2,2019,203M,294000.62,626322.077999998,46.9408041528437
1,2019,203M,321590.07,657808.617999999,48.8880901222854
9,2023,L103,101880.74,249884.369,40.7711536370648
3,2023,L103,113679.92,234140.751,48.5519583901906
2,2023,L142,124729.96,250190.304,49.8540343114175
2,2023,L103,89080.73,180042.354,49.4776523528458
2,2023,L130/146,10007.97,20276.445,49.3576166828061
12,2022,L128,50082.96,94170.529,53.1832628868423
12,2022,L107,100311.67,189898.47,52.8238431831494
4,2022,L107,88438.6900000001,190166.344,46.5059632213364
12,2021,L103,104810.37,198896.457,52.6959462128579
11,2021,L103,103726.79,212236.796,48.8731416770916
7,2021,L103,88832.7200000001,175980.452,50.4787429458359
5,2021,L102/144,32444.95,79181.1129999999,40.9756175061597
5,2021,L130/146,51770.92,121577.722,42.5825711720442
1,2021,L102/144,8304.69,19840.62,41.8570085007424
5,2020,L144,3859.46,10796.045,35.7488320954572
1,2020,L144,23588.87,50536.987,46.6764470940858
7,2019,L128,60677.65,146392.101,41.448718602652
1,2019,L130,34686.93,66340.67,52.2860712742275
9,2022,L122,109155.34,243824.539,44.7679878521169
7,2022,L122,102129.84,226877.65,45.0153816385175
7,2022,L107,91098.9300000001,190088.921,47.9243764027679
5,2022,L138,32335.09,70697.642,45.7371548544717
12,2021,L142,140905.76,291447.336000001,48.3469027145267
12,2020,L143,77096.2200000001,193478.595,39.8474156792384
3,2020,L129,32903.33,73185.304,44.9589305525055
1,2020,L101,46378.89,99749.517,46.4953529549421
7,2019,L143,97551.0199999999,234669.122,41.5696019862382
10,2023,L122,114359.27,247720.738,46.1645928085359
9,2023,L142,155984.74,339629.976,45.9278482533003
8,2023,L130,32326.19,69580.75,46.4585248075078
8,2023,L140,51117.96,115322.408,44.326129575789
8,2023,L102/144,51253.23,108077.914,47.4224826359991
7,2023,L102/144,46595.19,101113.746,46.0819540797153
2,2023,L130,22049.22,41990.787,52.5096612264019
2,2023,L126,17772.8,39176.991,45.3654033817962
10,2022,L128,47862.79,99279.058,48.2103587243948
6,2022,L138,42386.37,90468.804,46.8519181484924
3,2022,L110,110739.77,229345.121,48.2852085612931
4,2021,L101,34156.55,83428.541,40.9410851377588
3,2021,L101,34595.01,81166.139,42.6224660014936
9,2020,L145,17284.08,49459.308,34.9460611135117
8,2020,L145,36110.9000000001,98392.3360000001,36.7009276007026
1,2020,L129,39645.79,78203.503,50.6956702438252
12,2019,L143,107168.77,230438.309,46.5064903769971
12,2019,L110,104212.48,231340.878000001,45.0471533180573
10,2019,L143,106519.06,245697.33,43.3537718948757
11,2023,L146,29557.76,67214.2000000001,43.975469469249
11,2023,L102/144,22330.01,46358.215,48.1683990636827
11,2023,L145/133,48444.68,101512.494,47.7228743882501
11,2023,L140,21665.58,49250.389,43.9906779213459
10,2023,L140,48946.1,112405.739,43.5441290057263
10,2023,L130,30983.49,64865.872,47.7654721114364
10,2023,L107,99762.1000000001,208889.896,47.7582218720623
10,2023,L128,54135.96,114421.758,47.3126448555352
2,2023,L110,88966.3,179673.41,49.5155627090286
1,2023,L142,136696.5,283176.494,48.2725448249953
1,2023,L101,39273.12,82884.005,47.3832315414778
12,2022,L101,43529.38,86539.883,50.299790675705
12,2022,L110,109660.55,222611.485,49.2609579420397
5,2022,L110,101755.46,216220.572,47.0609521835878
4,2022,L110,99923.5500000001,210028.685,47.5761441824006
3,2022,L101,42569.01,94060.2819999999,45.2571575322303
2,2022,L110,81598.2,165034.149,49.4432215965194
12,2021,L101,37013.51,78078.32,47.4056178462856
11,2021,L110,108836.3,228126.33,47.7087848649474
11,2021,L101,38604.73,84595.3439999999,45.6345800780715
10,2021,L101,36295.53,84140.664,43.1367287522238
4,2021,L110,86813.3400000001,198112.468,43.8202304359764
12,2020,L110,78671.74,198374.229,39.6582461323643
11,2020,L110,44730.24,119159.574,37.5380999599747
6,2020,L110,51275.56,134059.258,38.2484289149205
5,2020,L110,15347.57,41557.914,36.9305591228665
5,2020,L101,6942.36,19901.717,34.8832213823561
4,2020,L101,19803.24,60761.053,32.5919960603711
