Semana,Linea,LTS
2020-04-26,L146,8787.63
2020-04-19,L146,10080.56
2020-04-12,L146,10479.68
2020-04-05,L146,8866.77
2020-03-29,L146,8841.93
2020-03-22,L146,7243.6
2020-03-15,L146,13940.22
2020-03-08,L146,18172.62
2020-03-01,L146,18675.41
2020-02-23,L146,14059.93
2020-02-23,L107,18467.4
2020-02-16,L107,22278.68
2020-02-16,L146,16835.84
2020-02-09,L107,23118.24
2020-02-09,L146,17693.03
2020-02-02,L146,16395.76
2020-01-26,L146,16721.32
2020-01-19,L146,16205.28
2020-01-12,L146,14245.71
2020-01-05,L146,15954.17
2020-01-05,L142,34716.14
2019-12-29,L146,13222.67
2019-12-22,L146,13613.28
2019-12-22,L102,8357.83
2019-12-15,L102,10703.69
2019-12-08,L102,10351.7
