Semana,des_lin,Cantidad_Pasajeros
2019-05-05T00:00:00Z,35/9,102043
2019-05-05T00:00:00Z,LINEA A,88286
2019-05-05T00:00:00Z,CP33/9,59901
2019-05-05T00:00:00Z,MORENO 203,527204
2019-05-05T00:00:00Z,103,146823
2019-05-05T00:00:00Z,143,116489
2019-05-05T00:00:00Z,125,36755
2019-05-05T00:00:00Z,41,291727
2019-05-05T00:00:00Z,110,146884
2019-05-05T00:00:00Z,C NEGRA,31537
2019-05-05T00:00:00Z,128,86802
2019-05-05T00:00:00Z,145,100243
2019-05-05T00:00:00Z,146,104370
2019-05-05T00:00:00Z,142,155613
2019-05-05T00:00:00Z,144,57541
2019-05-05T00:00:00Z,102,89572
2019-05-05T00:00:00Z,101,72335
2019-05-05T00:00:00Z,130,52924
2019-05-05T00:00:00Z,129,41360
2019-05-05T00:00:00Z,RINCÓN,112912
2019-05-05T00:00:00Z,35/9 V,124543
2019-05-05T00:00:00Z,VILLA CONS,6071
2019-05-05T00:00:00Z,FABRICA,5672
2019-05-05T00:00:00Z,C ROJA,870
2019-05-12T00:00:00Z,107,171641
2019-05-12T00:00:00Z,315,154592
2019-05-12T00:00:00Z,440,699557
2019-05-12T00:00:00Z,740,239375
2019-05-12T00:00:00Z,PILAR 203,379536
2019-05-12T00:00:00Z,CN33/9,23187
