Semana,Linea,KM
2019-09-29T00:00:00Z,203I,237208.702
2021-10-10T00:00:00Z,LEXP,76156.185
2023-07-30T00:00:00Z,N339,43155.624
2019-11-24T00:00:00Z,203I,243629.67
2021-05-23T00:00:00Z,LINA,64979.008
2021-10-24T00:00:00Z,203M,222741.43
2021-09-26T00:00:00Z,L315,39964.83
2023-01-29T00:00:00Z,203I,193272.57
2023-01-22T00:00:00Z,203I,190338.24
2021-01-03T00:00:00Z,203M,183173.83
2019-01-13T00:00:00Z,203I,188213.13
2022-01-02T00:00:00Z,LINA,120338.393
2020-12-13T00:00:00Z,L339,34174.932
2023-10-08T00:00:00Z,203M,210083.34
2019-01-13T00:00:00Z,LINA,149994.988
2021-09-05T00:00:00Z,L359,47641.025
2019-02-17T00:00:00Z,359V,81094.193
2021-08-29T00:00:00Z,N339,25614.202
2023-09-10T00:00:00Z,L359,34864.694
2021-11-07T00:00:00Z,203M,225306.284
2021-08-15T00:00:00Z,203I,212616.14
2021-08-22T00:00:00Z,L339,53029.638
2019-06-09T00:00:00Z,203M,195536.465
2022-02-27T00:00:00Z,203I,215534.33
2021-10-03T00:00:00Z,LINA,126279.104
2019-01-27T00:00:00Z,LMAV,50046.437
2020-02-09T00:00:00Z,203M,210659.5
2019-01-06T00:00:00Z,L359,63612.179
2021-10-10T00:00:00Z,LINA,126762.296
2020-03-01T00:00:00Z,203I,245151.03
2019-11-17T00:00:00Z,203I,228285.42
2021-10-31T00:00:00Z,L359,46020.266
2021-09-05T00:00:00Z,LINA,135594.774
2021-04-25T00:00:00Z,LINA,131485.677
2023-05-14T00:00:00Z,N339,38028.595
2019-03-17T00:00:00Z,359V,90091.8659999999
