Fecha,Linea,LTS,KM,Consumo
2019-07-16,L102,2115.51,6025.9,35.1069549776797
2019-07-12,L102,2480.3,6194.035,40.0433643012996
2019-07-11,L102,2317.24,5981.009,38.7432956546295
2019-07-10,L102,2485.87,9262.103,26.8391530519581
2019-07-06,L102,1309.4,3692.459,35.4614634854443
2019-07-04,L102,2742.7,7669.865,35.759429924777
2019-07-03,L102,2866.52,7318.331,39.1690400447862
2019-07-02,L107,5307.72,13237.779,40.0952455846256
2019-07-01,L107,5921.46,14214.821,41.656943833482
2019-06-28,L102,3467.88,8729.087,39.7278661559909
2019-06-12,L102,3238.01,8457.748,38.2845409912899
2019-04-06,L107,3154.17,7931.505,39.7676103085102
2019-03-18,L107,4955.36,13182.419,37.5906728499526
2019-03-15,L107,4851.84,12583.364,38.5575749060426
2019-03-13,L107,4181.06,11315.812,36.9488287716339
2019-02-28,L107,4305.02,10211.208,42.1597523035473
2019-02-27,L107,3996.89,11402.31,35.0533356837343
2019-02-26,L107,3543.7,9356.715,37.8733348188975
2019-02-25,L107,4277.35,11714.899,36.5120518751378
2019-02-22,L107,3444.74,12034.468,28.6239491434104
2019-02-21,L107,2432.49,6580.311,36.9661859447069
2019-02-19,L107,3823.24,10467.719,36.5240985165918
2019-02-13,L107,3893.83,10901.949,35.7168245787978
2019-02-12,L107,4200.93,9572.011,43.8876428370172
2019-02-11,L107,3146.92,9862.306,31.9085617501627
2019-02-09,L107,2233.44,5903.385,37.83320925198
2019-02-08,L102,1163.75,3281.48,35.4641807964699
2019-02-05,L101,1192.3,3728.568,31.9774240405432
2019-02-03,L101,1346.54,3633.748,37.0565047438623
2019-01-31,L101,1197.87,2500,47.9148
2019-01-30,L101,1342.31,3743.851,35.8537238795027
2019-01-29,L101,1188.99,3346.106,35.5335425715743
2019-01-27,L101,1264.41,2384.894,53.0174506707636
2019-01-24,L101,1001.85,2880.861,34.7760617398757
2019-01-23,L101,1218.19,3774.22,32.2766028477407
2019-06-22,L146,1600.62,4343.24,36.8531326843555
2019-06-14,L107,5372.11,12122.582,44.3148992516611
2019-06-12,L107,3112.83,7082.967,43.9481081868658
2019-06-02,L146,1640.27,4827.108,33.9803874286633
2019-06-01,L146,1827.57,4729.974,38.6380559385739
2019-05-12,L146,1829.44,4956.786,36.9077866181836
2019-05-04,L146,1580.56,4457.791,35.4561261396059
2019-04-13,L146,1762.46,5046.879,34.921780371592
2019-04-08,L146,2266.92,7640.378,29.67025976987
2019-04-02,L146,1187.68,3608.16,32.9165003769234
2019-03-25,L146,2425.49,7141.385,33.963859951536
2019-03-23,L146,1340.38,4524.074,29.6277205014772
2019-03-12,L146,2319.29,7164.156,32.3735273212923
2019-03-08,L146,2291.67,6084.445,37.6644048882026
2019-02-15,L146,1617.84,9358.338,17.2876850568979
2019-01-24,L146,1898.99,5141.72,36.9329718459971
2019-01-23,L146,2001.52,5804.167,34.4841904100967
2019-01-21,L146,1587.31,4481.836,35.4165123400321
2019-01-20,L146,2418.23,7024.652,34.4249081662693
2019-01-18,L146,1335.72,4649.056,28.7309939910382
2019-01-17,L146,1591.48,4726.223,33.6734005145335
2019-01-16,L146,1980.33,5534.863,35.7792053750924
2019-01-15,L146,1699.56,4783.301,35.5311112555953
2019-01-09,L146,1737.38,6175.371,28.1340181828752
2019-01-08,L146,1530.74,4650.243,32.9174195843099
2019-01-07,L146,1540.12,6351.667,24.2474928235375
2019-01-06,L146,2563.06,6111.791,41.9363162123836
2019-01-04,L146,1606.2,4378.696,36.6821537736349
2019-05-23,L102,3043.75,7276.897,41.8275811791757
2019-05-20,L102,3005.48,8053.91,37.3170298649973
2019-03-07,L102,2071.04,5932.242,34.9115899182805
2019-02-25,L102,1723.04,5646.831,30.5133976915548
2019-02-20,L102,1721.58,5457.159,31.5471841667065
2019-02-14,L146,322.15,972.161,33.1375152881056
2019-01-26,L146,1505.91,4283.275,35.1579107108463
2019-01-25,L146,1561.84,4014.354,38.9063844394391
2020-07-17,L440,8874.97,33952.327,26.1395043703485
2020-06-11,L440,9100.71,33272.958,27.351670987593
2019-07-25,203M,17011.41,36396.23,46.7394837322437
2019-06-30,203M,7868.61,18429.605,42.6954891328382
2019-06-21,203M,14521.18,34778.465,41.7533666307585
2019-06-12,203M,13818.9,32102.85,43.0457108948271
2019-05-16,203M,14430.28,29955.45,48.1724694504673
2019-05-13,203M,15213.98,54919.526,27.7023148378957
2019-05-10,203M,26144.11,61886.19,42.2454670420008
2019-04-24,203M,13423.16,33000.681,40.6754030318344
2019-04-17,203M,14860.86,33507.51,44.3508335892461
2019-03-18,203M,15196.53,44923.15,33.827837095128
2019-01-26,L101,855.02,3059.284,27.9483696185121
2023-06-05,L107,4084.99,8161.946,50.0492162040768
2023-05-23,L107,4181.27,8945.327,46.7425058916237
2023-05-22,L145/133,4371.64,9323.562,46.8880884794888
2023-05-20,L146,1808.33,4362.048,41.455985812169
2023-05-19,L146,2561.82,5447.202,47.0300165112291
2023-05-18,L146,2792.99,6605.15,42.285035161957
2023-05-17,L146,2463.05,5804.362,42.4344656656494
2023-05-16,L146,2401.67,5739.123,41.84733451435
2023-05-15,L146,2315.79,5252.987,44.0852033328847
2023-05-13,L146,1701.39,3957.17,42.9951202500777
2023-05-12,L146,2676.29,5841.844,45.8124181337263
2023-05-11,L146,2500.78,5861.796,42.6623512657213
2023-05-10,L146,2841.33,6669.941,42.5990274876495
2023-05-09,L146,2403.26,5559.936,43.2245982687571
2023-05-08,L146,2548.84,6107.761,41.7311679353531
2023-05-04,L146,2487.38,5573.896,44.6255186677326
2023-05-03,L146,2580.46,5811.799,44.400365532256
2023-05-02,L128,2213.03,4511.072,49.0577405991303
2023-04-27,L102/144,2110.05,4785.899,44.0888953151749
2023-04-26,L102/144,1947.01,4208.893,46.2594321119592
2023-04-24,L143/136/137,3110.21,6477.974,48.0120790852202
2023-04-21,L143/136/137,3158.65,6972.222,45.3033480574772
2023-04-20,L122,4534.1,9403.694,48.2161584585802
2023-04-19,L130,1211.12,2675.174,45.2725691861539
2023-04-18,L130,1120.08,2281.114,49.1023245659796
2023-04-17,L130,1353.38,2907.479,46.5482295830856
2023-04-14,L107,3971.28,8092.635,49.072768016845
2023-04-13,L122,4928.16,10094.011,48.8226137260996
2023-04-11,L122,5082.98,10189.636,49.8838231316604
2023-04-10,L122,5191.68,10447.947,49.6909105683633
2023-04-05,L143/136/137,3525.12,7141.303,49.3624202754035
2023-04-04,L143/136/137,3953.84,8020.035,49.2995354758427
2023-04-03,L143/136/137,3247.79,7012.87,46.3118523514624
2023-03-31,L143/136/137,3439.82,7063.024,48.7018025140506
2023-03-30,L143/136/137,3409.46,7530.584,45.274841898052
2023-03-29,L143/136/137,3713.52,7143.328,51.9858530925642
2023-03-28,L143/136/137,3663.08,7296.565,50.2028009070021
2023-03-26,L143/136/137,1450.09,3472.832,41.7552591084164
2023-03-23,L142,5913.36,14968.722,39.5047753575756
2023-03-22,L142,4899.47,11687.278,41.9213952128117
2023-03-20,L146,2472.06,5339.898,46.2941426971077
2023-03-19,L146,1536.54,3443.143,44.6260872696835
2023-03-18,L146,1893.71,4118.853,45.9766347572977
2023-03-17,L146,2633.64,4983.388,52.8483834692382
2023-03-16,L146,2186.1,4504.961,48.5265022272113
2023-03-15,L146,2655.93,5379.869,49.3679307061194
2023-03-14,L146,2630.23,5122.371,51.3479011965357
2023-03-13,L146,2605.2,5243.929,49.6803065030057
2023-03-11,L146,1902.51,5616.962,33.8708006214035
2023-03-10,L146,1542.33,2908.154,53.0346742297691
2023-03-09,L146,3868.12,7078.936,54.6426751138872
2023-03-08,L146,2729.32,5382.663,50.7057566115508
2023-03-07,L146,2067.51,5279.708,39.1595520055276
2023-03-06,L146,1395.79,2823.138,49.4410829367888
2023-03-05,L146,2663.06,4397.657,60.5563371586279
2023-03-04,L146,1911.36,3719.729,51.3843884863655
2023-03-03,L140,2597.16,5715.908,45.4374003220486
2023-02-28,L143/136/137,2795.43,5094.366,54.8729714355035
