Fecha,Linea,LTS
2021-10-21,L143/136/137,2997.31
2021-10-20,L143/136/137,3186.81
2021-10-13,L143/136/137,2983.72
2021-10-12,L130/146,2556.73
2021-10-11,L130/146,1172.16
2021-10-06,L130/146,2606.01
2021-10-05,L130/146,2428.16
2021-10-04,L130/146,3895.35
2021-10-02,L130/146,1702.58
2021-10-01,L130/146,2889.34
2021-09-30,L130/146,2648.81
2021-09-29,L130/146,2888.08
2021-09-28,L130/146,1155.27
2021-09-24,L130/146,2685.22
2021-09-23,L130/146,2901.7
2021-09-22,L130/146,2472.21
2021-09-21,L130/146,2896.26
2021-09-18,L130/146,1687.6
2021-09-17,L130/146,2733.31
2021-09-16,L130/146,2730.42
2021-09-15,L103,3763.95
2021-09-14,L103,3653.23
2021-09-13,L103,3537.3
2021-09-12,L103,1732.97
2021-09-10,L103,4197.18
2021-09-09,L103,3617.22
2021-09-08,L133/125,2542.39
2021-09-07,L133/125,2346.19
2021-09-06,L133/125,2379.08
2021-09-03,L130/146,3023.82
2021-09-02,L133/125,2339.26
2021-09-01,L143/136/137,2884.51
2021-08-31,L143/136/137,2880.63
2021-08-30,L130/146,2370.33
2021-08-29,L130/146,982.95
2021-08-28,L130/146,1753.5
2021-08-27,L130/146,2298.18
2021-08-26,L130/146,2489.65
2021-08-25,L130/146,2397.48
2021-08-24,L130/146,2229.98
2021-08-23,L130/146,2468.24
2021-08-21,L130/146,1703.85
2021-08-18,L130/146,2423.74
2021-08-17,L130/146,2574.81
2021-08-16,L130/146,980.03
2021-08-15,L130/146,1019.67
2021-08-13,L130/146,2536.44
2021-08-12,L130/146,2608.5
2021-08-11,L130/146,2482.64
2021-08-10,L130/146,2489.71
2021-08-09,L130/146,2661.59
2021-08-04,L130/146,2753.63
2021-08-03,L130/146,2550.46
2021-08-02,L130/146,2468.92
2021-08-01,L102/144,791.16
2021-07-30,L102/144,1476.82
2021-07-29,L102/144,1532.47
2021-07-28,L102/144,1672.08
2021-07-27,L102/144,1865.49
2021-07-26,L102/144,1641.21
2021-07-23,L102/144,1211.97
2021-07-15,L133/125,2163.77
2021-07-13,L133/125,2156.26
2021-07-12,L133/125,2373.28
2021-07-11,L133/125,1246.29
2021-07-09,L133/125,1211.63
2021-07-08,L133/125,2187.54
2021-07-07,L133/125,2042.9
2021-07-06,L143/136/137,2499.14
2021-07-05,L143/136/137,2842.27
2021-07-04,L102/144,825.86
2021-07-01,L143/136/137,2561.16
2021-06-30,L143/136/137,2738.89
2021-06-29,L143/136/137,2467.83
2021-06-28,L145/133,3492.85
2021-06-25,L143/136/137,2334.84
2021-06-24,L143/136/137,2547.62
2021-06-23,L143/136/137,2257.94
2021-06-21,L102/144,756.48
2021-06-10,L102/144,1119.96
2021-06-09,L102/144,1207.58
2021-06-08,L143/136/137,2734.02
2021-06-07,L143/136/137,2826.48
2021-06-06,L143/136/137,1558.1
2021-06-04,L143/136/137,2736.88
2021-06-03,L143/136/137,2630.47
2021-06-02,L143/136/137,2543.81
2021-06-01,L143/136/137,2641.49
2021-05-31,L143/136/137,2573.21
2021-05-30,L143/136/137,1688.11
2021-05-29,L143/136/137,1790.54
2021-05-25,L143/136/137,1660.35
2021-05-24,L143/136/137,1752.17
2021-05-23,L143/136/137,1611.55
2021-05-21,L143/136/137,2671.31
2021-05-20,L143/136/137,2473.78
2021-05-19,L143/136/137,3037.92
2021-05-14,L143/136/137,2606.35
2021-05-13,L143/136/137,2840.9
2021-05-12,L143/136/137,2817.92
2021-05-11,L143/136/137,2772.94
2021-05-10,L143/136/137,2848.37
2021-05-09,L143/136/137,1819.33
2021-05-08,L143/136/137,1961.77
2021-05-07,L143/136/137,2849.64
2021-05-06,L143/136/137,2542.77
2021-05-05,L143/136/137,2727.45
2021-05-04,L143/136/137,2809.06
2021-05-03,L143/136/137,2695.94
2021-04-30,L143/136/137,3128.04
2021-04-29,L143/136/137,2918.33
2021-04-28,L143/136/137,2791.12
2021-04-27,L143/136/137,2924.5
2021-04-26,L143/136/137,3197.86
2021-04-23,L143/136/137,2653.74
2021-04-22,L143/136/137,3099.59
2021-04-21,L143/136/137,2730.82
2021-04-20,L143/136/137,2820.74
2021-04-19,L143/136/137,3011.59
2021-04-16,L143/136/137,2884.96
2021-04-15,L143/136/137,2905.13
2021-04-14,L143/136/137,2876.3
2021-04-13,L102/144,2069.15
2021-04-12,L102/144,1808.17
2021-04-11,L102/144,778.47
2021-04-09,L102/144,1812.44
2021-04-08,L102/144,1851.42
2021-04-07,L102/144,2056.29
2021-04-06,L102/144,1907.21
2021-04-05,L102/144,2311.69
2021-03-31,L102/144,2054.67
2021-03-30,L133/125,2880.95
2021-03-29,L133/125,2891.2
2021-03-27,L133/125,2035.21
2021-03-26,L133/125,2803.85
2021-03-25,L130/146,2398.67
2021-03-24,L130/146,1473.71
2021-03-23,L130/146,2775.51
2021-03-22,L130/146,2736.53
2021-03-21,L130/146,1527.93
2021-03-20,L130/146,1571.59
2021-03-19,L130/146,2869.72
2021-03-18,L130/146,2747.92
2021-03-17,L130/146,2621.11
2021-03-16,L130/146,2822.67
2021-03-15,L130/146,2523.26
2021-03-12,L133/125,2815.51
2021-03-11,L133/125,3044.81
2021-03-10,L133/125,2918.96
2021-03-09,L133/125,3009.15
2021-03-08,L133/125,2792.03
2021-03-06,L133/125,2307.06
2021-03-05,L133/125,3088.3
2021-03-04,L133/125,3047.87
2021-03-03,L133/125,3044.46
2021-03-02,L133/125,3163.6
2021-03-01,L133/125,3143.62
2021-02-28,L133/125,2226.26
2021-02-27,L133/125,2406.23
2021-02-26,L133/125,3310.09
2021-02-25,L133/125,3244.78
2021-02-24,L133/125,2992.9
2021-02-23,L133/125,3565.37
