FechaRecaudacion,des_lin,Cantidad_Pasajeros
2019-01-18T00:00:00Z,C ROJA,52
2019-01-18T00:00:00Z,RINCÓN,15128
2019-01-18T00:00:00Z,35/9 V,18792
2019-01-18T00:00:00Z,VILLA CONS,600
2019-01-19T00:00:00Z,107,13289
2019-01-19T00:00:00Z,315,15696
2019-01-19T00:00:00Z,440,63237
2019-01-19T00:00:00Z,740,23182
2019-01-19T00:00:00Z,PILAR 203,42263
2019-01-19T00:00:00Z,CN33/9,2705
2019-01-19T00:00:00Z,EXPRESO,13671
2019-01-19T00:00:00Z,CP25 A,2486
2019-01-19T00:00:00Z,C AZUL,2210
2019-01-19T00:00:00Z,35/9,7865
2019-01-19T00:00:00Z,LINEA A,10569
2019-01-19T00:00:00Z,MORENO 203,59131
2019-01-19T00:00:00Z,CP33/9,5316
2019-01-19T00:00:00Z,103,11237
2019-01-19T00:00:00Z,143,8739
2019-01-19T00:00:00Z,125,2505
2019-01-19T00:00:00Z,41,23364
2019-01-19T00:00:00Z,110,11879
2019-01-19T00:00:00Z,C NEGRA,2523
2019-01-19T00:00:00Z,128,6267
2019-01-19T00:00:00Z,145,6953
2019-01-19T00:00:00Z,146,7773
2019-01-19T00:00:00Z,142,13187
2019-01-19T00:00:00Z,144,2106
2019-01-19T00:00:00Z,102,4496
2019-01-19T00:00:00Z,101,3158
2019-01-19T00:00:00Z,130,3428
2019-01-19T00:00:00Z,129,2680
2019-01-19T00:00:00Z,RINCÓN,12355
2019-01-19T00:00:00Z,35/9 V,10217
2019-01-19T00:00:00Z,VILLA CONS,164
2019-01-20T00:00:00Z,107,8316
2019-01-20T00:00:00Z,315,11865
2019-01-20T00:00:00Z,440,38524
2019-01-20T00:00:00Z,740,11080
2019-01-20T00:00:00Z,PILAR 203,30829
2019-01-20T00:00:00Z,CN33/9,2563
2019-01-20T00:00:00Z,EXPRESO,10168
2019-01-20T00:00:00Z,CP25 A,1869
2019-01-20T00:00:00Z,C AZUL,1140
2019-01-20T00:00:00Z,35/9,4859
2019-01-20T00:00:00Z,LINEA A,8579
2019-01-20T00:00:00Z,MORENO 203,45744
2019-01-20T00:00:00Z,CP33/9,3891
2019-01-20T00:00:00Z,103,6981
2019-01-20T00:00:00Z,143,5834
2019-01-20T00:00:00Z,125,1242
2019-01-20T00:00:00Z,41,14402
2019-01-20T00:00:00Z,110,7252
2019-01-20T00:00:00Z,C NEGRA,1448
2019-01-20T00:00:00Z,128,3194
2019-01-20T00:00:00Z,145,3667
2019-01-20T00:00:00Z,146,4710
2019-01-20T00:00:00Z,142,7740
2019-01-20T00:00:00Z,144,1147
2019-01-20T00:00:00Z,102,2591
2019-01-20T00:00:00Z,101,1694
2019-01-20T00:00:00Z,130,1621
2019-01-20T00:00:00Z,129,1887
2019-01-20T00:00:00Z,RINCÓN,8411
2019-01-20T00:00:00Z,35/9 V,5859
2019-01-20T00:00:00Z,VILLA CONS,49
2019-01-21T00:00:00Z,107,17489
2019-01-21T00:00:00Z,315,17368
2019-01-21T00:00:00Z,440,75907
2019-01-21T00:00:00Z,740,28690
2019-01-21T00:00:00Z,PILAR 203,53797
2019-01-21T00:00:00Z,CN33/9,2538
2019-01-21T00:00:00Z,EXPRESO,16226
2019-01-21T00:00:00Z,CP25 A,4151
2019-01-21T00:00:00Z,C AZUL,2921
2019-01-21T00:00:00Z,35/9,13161
2019-01-21T00:00:00Z,LINEA A,11081
2019-01-21T00:00:00Z,MORENO 203,67588
2019-01-21T00:00:00Z,CP33/9,6933
2019-01-21T00:00:00Z,FABRICA,68
2019-01-21T00:00:00Z,103,17558
2019-01-21T00:00:00Z,143,13330
2019-01-21T00:00:00Z,125,3980
2019-01-21T00:00:00Z,41,37685
2019-01-21T00:00:00Z,110,17138
